Canonical,Aliases,DLGFiles,HasCanonicalVoice,Gender,AgeBand,Accent,Archetype,Energy,Timbre,Notes,VoicePreset,RefFile,Status,Total_Lines,VO_Lines,No_VO_Yet
Imoen,IMOEN;IMOEN2,BIMOEN2.DLG|BIMOEN25.DLG|CSIMOEN.DLG|IMOEN10.DLG|IMOEN2.DLG|IMOEN25A.DLG|IMOEN25J.DLG|IMOEN25P.DLG|IMOEN2J.DLG|IMOEN2P.DLG|IMOENJ.DLG|IMOENP.DLG|PPIMOEN.DLG|TBIMOEN.DLG|TBIMOENJ.DLG|TTIMOEN.DLG|TTIMOENJ.DLG,Yes,F,Young,Midwest-lite,Cheery,High,Bright,Iconic companion with extensive party banter (102 BG2 audio files),female_bright,refs/imoen_ref_multi.wav,Locked,465,88,377
Minsc,MINSC,BMINSC.DLG|BMINSC25.DLG|MINSC25A.DLG|MINSC25J.DLG|MINSC25P.DLG|MINSCA.DLG|MINSCJ.DLG|MINSCP.DLG|TBMINSC.DLG|TBMINSCJ.DLG|TTMINSC.DLG|TTMINSCJ.DLG,Yes,M,Adult,Neutral,Boisterous,VeryHigh,Boomy,Ranger with hamster Boo - heroic and simple (91 BG2 audio files),male_booming,refs/minsc_ref.wav,Testing,549,477,72
Jaheira,JAHEIRA,JAHEIRA.DLG|JAHEIRAJ.DLG|JAHEIRAP.DLG,Yes,F,Mature,Neutral,Stern,Medium,Mature,Druid widow - wise but sharp-tongued (166 BG2 audio files as JAHEIR*),female_mature,refs/jaheira_ref.wav,Locked,703,651,52
Viconia,VICONIA;VVICONI,VICONIA.DLG|VVICONI.DLG,Yes,F,Adult,Drow,Sardonic,Medium,Cool,Drow cleric - aloof and sarcastic (126+ BG2 audio files),female_cool,,Pending,0,0,0
Edwin,EDWIN,BEDWIN.DLG|BEDWIN25.DLG|EDWIN.DLG|EDWIN25A.DLG|EDWIN25J.DLG|EDWIN25P.DLG|EDWINJ.DLG|EDWINP.DLG|EDWINW.DLG,Yes,M,Adult,Neutral,Arrogant,Medium,Sardonic,Red Wizard - scheming with internal monologue (142 BG2 audio files),male_sardonic,,Pending,523,0,523
Aerie,AERIE,AERIE.DLG|AERIE25A.DLG|AERIE25J.DLG|AERIE25P.DLG|AERIEJ.DLG|AERIEP.DLG|BAERIE.DLG|BAERIE25.DLG,Yes,F,Young,Neutral,Timid,Low,Gentle,Avariel elf - shy and compassionate (133 BG2 audio files),female_gentle,,Draft,1025,0,1025
Korgan,KORGAN,BKORGAN.DLG|KORGANA.DLG|KORGANF.DLG|KORGANJ.DLG|KORGANP.DLG,Yes,M,Adult,Scottish,Aggressive,High,Gruff,Dwarven berserker - crude and bloodthirsty (85 BG2 audio files),male_gruff,,Draft,451,0,451
Anomen,ANOMEN,ANOMEN.DLG|ANOMENJ.DLG|ANOMENP.DLG|BANOMEN.DLG,Yes,M,Young,Noble,Conflicted,Medium,Noble,Fighter/Cleric - proud but insecure (122 BG2 audio files),male_noble,,Draft,1033,0,1033
Keldorn,KELDORN,KELDORN.DLG|KELDORJ.DLG,Yes,M,Mature,Neutral,Righteous,Medium,Wise,Paladin - noble and dutiful (104 BG2 audio files as KELDOR*),male_wise,,Draft,290,0,290
Nalia,NALIA,BNALIA.DLG|BNALIA25.DLG|NALIA.DLG|NALIA25A.DLG|NALIA25J.DLG|NALIA25P.DLG|NALIAJ.DLG|NALIAMES.DLG|NALIAP.DLG,Yes,F,Young,Upper-class,Idealist,Medium,Light,Noble mage - caring and idealistic (98 BG2 audio files),female_uplift,,Draft,645,3,642
HaerDalis,HAERDALI;HAERDA,HAERDALI.DLG,Yes,M,Adult,Theatrical,Poetic,Medium,Smooth,Tiefling bard - flowery and romantic (96 BG2 audio files as HAERDA*),male_theatrical,,Draft,223,0,223
